year,month,ENSO,field_4,field_5,field_6
1921,JUN,,,,
1921,JUL,0.2,,,
1921,AUG,-0.8,,,
1921,SEP,0.4,,,
1921,OCT,1,,,
1921,NOV,0.6,,,
1921,DEC,0.8,,,
1921,Annual_average,0.55,,,
1922,JAN,0.9,,,
1922,FEB,1,,,
1922,MAR,0.5,,,
1922,APR,-0.4,,,
1922,MAY,-0.5,,,
1922,JUN,0.2,,,
1922,JUL,0.1,,,
1922,AUG,-0.3,,,
1922,SEP,0.5,,,
1922,OCT,0.5,,,
1922,NOV,0.7,,,
1922,DEC,1.2,,,
1922,Annual_average,0.366666667,,,
1923,JAN,0.6,,,
1923,FEB,0.4,,,
1923,MAR,0.9,,,
1923,APR,0.6,,,
1923,MAY,0.1,,,
1923,JUN,-0.2,,,
1923,JUL,-1.2,,,
1923,AUG,-2,,,
1923,SEP,-1.6,,,
1923,OCT,-0.7,,,
1923,NOV,-1.4,,,
1923,DEC,0.2,,,
1923,Annual_average,-0.358333333,,,
1924,JAN,-0.7,,,
1924,FEB,0,,,
1924,MAR,0.2,,,
1924,APR,-1.2,,,
1924,MAY,0.9,,,
1924,JUN,0.5,,,
1924,JUL,0.7,,,
1924,AUG,1,,,
1924,SEP,0.8,,,
1924,OCT,0.7,,,
1924,NOV,1,,,
1924,DEC,0.4,,,
1924,Annual_average,0.358333333,,,
1925,JAN,0.6,,,
1925,FEB,1.8,,,
1925,MAR,1.5,,,
1925,APR,1,,,
1925,MAY,-0.1,,,
1925,JUN,-0.5,,,
1925,JUL,-1.4,,,
1925,AUG,-1.2,,,
1925,SEP,-0.6,,,
1925,OCT,-1.5,,,
1925,NOV,-1.1,,,
1925,DEC,-1.2,,,
1925,Annual_average,-0.225,,,
1926,JAN,-1.9,,,
1926,FEB,-3.1,,,
1926,MAR,-2.7,,,
1926,APR,-1.6,,,
1926,MAY,-1.2,,,
1926,JUN,-1.7,,,
1926,JUL,-1.2,,,
1926,AUG,-2,,,
1926,SEP,-0.9,,,
1926,OCT,-0.8,,,
1926,NOV,-1.1,,,
1926,DEC,-0.5,,,
1926,Annual_average,-1.558333333,,,
1927,JAN,0.5,,,
1927,FEB,-0.1,,,
1927,MAR,2,,,
1927,APR,0.6,,,
1927,MAY,0.5,,,
1927,JUN,,,,
1927,JUL,,,,
1927,AUG,,,,
1927,SEP,0,,,
1927,OCT,-0.6,,,
1927,NOV,-0.9,,,
1927,DEC,0.8,,,
1927,Annual_average,0.311111111,,,
